Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
245,41000000,c0000000,n/a,n/a,n/a,c2000000,n/a,n/a,n/a,PASS
246,c1200000,40400000,n/a,n/a,n/a,c2200000,n/a,n/a,n/a,PASS
247,41400000,c0800000,n/a,n/a,n/a,c2c00000,n/a,n/a,n/a,PASS
248,c1600000,40c00000,n/a,n/a,n/a,c2e00000,n/a,n/a,n/a,PASS
249,41800000,c1000000,n/a,n/a,n/a,c3800000,n/a,n/a,n/a,PASS
250,c1a00000,41400000,n/a,n/a,n/a,c3a00000,n/a,n/a,n/a,PASS
251,41c00000,c1800000,n/a,n/a,n/a,c4400000,n/a,n/a,n/a,PASS
252,c1e00000,41c00000,n/a,n/a,n/a,c4600000,n/a,n/a,n/a,PASS
253,42000000,c2000000,n/a,n/a,n/a,c5000000,n/a,n/a,n/a,PASS
254,c2200000,42400000,n/a,n/a,n/a,c5200000,n/a,n/a,n/a,PASS
255,42400000,c2800000,n/a,n/a,n/a,c5c00000,n/a,n/a,n/a,PASS
256,c2600000,42c00000,n/a,n/a,n/a,c5e00000,n/a,n/a,n/a,PASS
